X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-1.58E-04,1.00E-06
426,1.06E-01,1.80E+00,,
427,1.08E-01,1.88E+00,,
428,1.06E-01,1.88E+00,,
429,1.08E-01,1.92E+00,,
430,1.06E-01,1.92E+00,,
431,1.08E-01,1.84E+00,,
432,1.08E-01,1.84E+00,,
433,1.06E-01,1.76E+00,,
434,1.06E-01,1.76E+00,,
435,1.08E-01,1.60E+00,,
436,1.06E-01,1.64E+00,,
437,1.08E-01,1.44E+00,,
438,1.06E-01,1.44E+00,,
439,1.08E-01,1.28E+00,,
440,1.06E-01,1.28E+00,,
441,1.08E-01,1.08E+00,,
442,1.06E-01,1.08E+00,,
443,1.08E-01,8.80E-01,,
444,1.06E-01,8.80E-01,,
445,1.08E-01,7.20E-01,,
446,1.06E-01,6.80E-01,,
447,1.08E-01,6.00E-01,,
448,1.08E-01,5.60E-01,,
449,1.06E-01,4.40E-01,,
450,1.06E-01,4.80E-01,,
451,1.08E-01,4.00E-01,,
452,1.06E-01,4.00E-01,,
453,1.08E-01,3.60E-01,,
454,1.06E-01,3.60E-01,,
455,1.08E-01,4.40E-01,,
456,1.08E-01,4.00E-01,,
457,1.06E-01,4.80E-01,,
458,1.06E-01,4.80E-01,,
459,1.08E-01,6.00E-01,,
460,1.06E-01,6.00E-01,,
461,1.08E-01,7.60E-01,,
462,1.08E-01,7.20E-01,,
463,1.06E-01,8.80E-01,,
464,1.06E-01,8.80E-01,,
465,1.08E-01,1.04E+00,,
466,1.08E-01,1.08E+00,,
467,1.06E-01,1.24E+00,,
468,1.06E-01,1.24E+00,,
469,1.08E-01,1.40E+00,,
470,1.08E-01,1.40E+00,,
471,1.06E-01,1.56E+00,,
472,1.04E-01,1.52E+00,,
473,1.08E-01,1.68E+00,,
474,1.08E-01,1.68E+00,,
475,1.06E-01,1.72E+00,,
476,1.06E-01,1.68E+00,,
477,1.06E-01,1.76E+00,,
478,1.06E-01,1.76E+00,,
479,1.08E-01,1.72E+00,,
480,1.08E-01,1.76E+00,,
481,1.04E-01,1.68E+00,,
482,1.06E-01,1.68E+00,,
483,1.08E-01,1.60E+00,,
484,1.08E-01,1.60E+00,,
485,1.06E-01,1.48E+00,,
486,1.06E-01,1.48E+00,,
487,1.08E-01,1.36E+00,,
488,1.08E-01,1.36E+00,,
489,1.06E-01,1.16E+00,,
490,1.06E-01,1.16E+00,,
491,1.08E-01,1.04E+00,,
492,1.08E-01,1.00E+00,,
493,1.04E-01,8.80E-01,,
494,1.06E-01,8.80E-01,,
495,1.08E-01,7.20E-01,,
496,1.06E-01,7.60E-01,,
497,1.08E-01,6.00E-01,,
498,1.06E-01,6.00E-01,,
499,1.08E-01,5.60E-01,,
500,1.06E-01,5.60E-01,,
501,1.08E-01,4.80E-01,,
502,1.08E-01,5.20E-01,,
503,1.04E-01,4.40E-01,,
504,1.08E-01,4.80E-01,,
505,1.06E-01,5.60E-01,,
506,1.06E-01,5.60E-01,,
507,1.08E-01,6.00E-01,,
508,1.06E-01,6.00E-01,,
509,1.08E-01,7.20E-01,,
510,1.06E-01,6.80E-01,,
511,1.08E-01,8.40E-01,,
512,1.08E-01,8.00E-01,,
513,1.06E-01,9.60E-01,,
514,1.06E-01,1.00E+00,,
515,1.08E-01,1.12E+00,,
516,1.06E-01,1.12E+00,,
517,1.08E-01,1.28E+00,,
518,1.06E-01,1.28E+00,,
519,1.08E-01,1.40E+00,,
520,1.06E-01,1.40E+00,,
521,1.08E-01,1.52E+00,,
522,1.06E-01,1.48E+00,,
523,1.08E-01,1.60E+00,,
524,1.08E-01,1.56E+00,,
525,1.06E-01,1.64E+00,,
526,1.06E-01,1.60E+00,,
527,1.08E-01,1.68E+00,,
528,1.06E-01,1.68E+00,,
529,1.08E-01,1.60E+00,,
530,1.08E-01,1.64E+00,,
531,1.06E-01,1.56E+00,,
532,1.06E-01,1.60E+00,,
533,1.08E-01,1.48E+00,,
534,1.06E-01,1.48E+00,,
535,1.08E-01,1.40E+00,,
536,1.06E-01,1.36E+00,,
537,1.08E-01,1.28E+00,,
538,1.06E-01,1.24E+00,,
539,1.08E-01,1.12E+00,,
